name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
53020,15.32,2.2611916,0.1462475,0.0484104,105.863792,34.964157,-37.941431,7.46,2,0
53023,15.16,2.2839878,0.1369314,0.0899676,104.282631,34.945636,-38.150345,3.76,2,0
53026,14.89,2.1578501,0.1020578,0.0658903,113.56109,31.253687,-33.12935,4.0,2,0
53027,15.07,2.2785049,0.1123914,0.0717676,104.659442,35.113669,-37.231746,2.84,2,0
53028,14.12,2.1531442,0.1545592,0.0498121,113.933702,31.348793,-34.648842,53.59,2,0
53041,14.32,2.2770163,0.1362141,0.0890476,104.76209,34.726153,-37.863437,9.81,2,2076
53055,15.58,2.276499,0.1335265,0.0501219,104.797661,35.443089,-38.015042,7.99,2,0
53062,14.82,2.2346968,0.0525647,0.1196411,107.753176,32.388464,-34.054328,2.55,2,0
53071,14.53,2.2981397,0.168097,0.0922332,103.320415,35.448756,-40.046388,5.26,2,0
53084,14.18,2.2307114,0.1391054,0.1307458,108.041921,32.00305,-36.011572,12.34,2,0
53090,13.51,2.2991224,0.1954931,0.4104572,103.257288,14.725766,-33.161211,23.84,2,25
53093,15.37,2.1800237,0.1080021,0.0319235,111.832494,32.34851,-33.987362,5.17,2,0
53113,14.66,2.2882609,0.1922687,0.1231235,103.990516,34.247429,-40.550106,22.47,2,0
53118,15.09,2.2334009,0.1934597,0.1177885,107.832655,32.600476,-38.570556,97.12,2,0
